Hour,P_PV_to_Load,P_PV_to_BESS,P_PV_curtailment,P_PV_to_Grid,P_BESS_to_Load,P_BESS_to_Grid,P_Grid_to_Load,P_Grid_to_BESS,SoC,sum_power_flows
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8836.52430044183,18900.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18900.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,18900.0,750.0
6,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,18900.0,3000.0
7,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,18900.0,3000.0
8,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,18900.0,3000.0
9,302.976,0.0,0.0,0.0,0.0,0.0,2706.11328,0.0,18900.0,3009.08928
10,1530.666,0.0,0.0,0.0,0.0,0.0,1515.25398,0.0,18900.0,3045.9199799999997
11,549.6354,0.0,0.0,0.0,0.0,0.0,2466.853662,0.0,18900.0,3016.489062
12,572.157,0.0,0.0,0.0,0.0,0.0,2445.00771,0.0,18900.0,3017.16471
13,704.6631,0.0,0.0,0.0,0.0,0.0,2316.476793,0.0,18900.0,3021.1398929999996
14,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,18900.0,3000.0
15,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,18900.0,3000.0
16,689.8338,0.0,0.0,0.0,2503.07260953608,0.0,0.0,0.0,16211.9924725772,3192.90640953608
17,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,12752.31733884,3221.64948453608
18,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,12752.31733884,3000.0
19,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,12752.31733884,3000.0
20,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,12752.31733884,3000.0
21,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,12752.31733884,3000.0
22,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,12752.31733884,3000.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12752.31733884,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12752.31733884,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12752.31733884,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12752.31733884,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6179.66941282132,18626.711082668,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18626.711082668,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,18626.711082668,750.0
30,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,18626.711082668,3000.0
31,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,18626.711082668,3000.0
32,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,18626.711082668,3000.0
33,519.9327,0.0,0.0,0.0,0.0,0.0,2495.665281,0.0,18626.711082668,3015.597981
34,613.1556,0.0,0.0,0.0,0.0,0.0,2405.239068,0.0,18626.711082668,3018.394668
35,1311.786,0.0,0.0,0.0,0.0,0.0,1727.56758,0.0,18626.711082668,3039.35358
36,264.1302,0.0,0.0,0.0,0.0,0.0,2743.793706,0.0,18626.711082668,3007.923906
37,587.7855,0.0,0.0,0.0,0.0,0.0,2429.848065,0.0,18626.711082668,3017.633565
38,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,18626.711082668,3000.0
39,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,15167.0359489308,3221.64948453608
40,689.8311,0.0,0.0,0.0,2503.07542203608,0.0,0.0,0.0,12479.0254012116,3192.90652203608
41,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,9019.3502674744,3221.64948453608
42,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,5559.6751337372,3221.64948453608
43,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,2100.0,3221.64948453608
44,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,2100.0,3000.0
45,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,2100.0,3000.0
46,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,2100.0,3000.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17673.0486008837,18900.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,18900.0,750.0
54,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,18900.0,3000.0
55,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,18900.0,3000.0
56,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,18900.0,3000.0
57,0.08875107,0.0,0.0,0.0,0.0,0.0,2999.9139114621,0.0,18900.0,3000.0026625320997
58,0.2172492,0.0,0.0,0.0,0.0,0.0,2999.789268276,0.0,18900.0,3000.0065174759998
59,31.59405,0.0,0.0,0.0,0.0,0.0,2969.3537715,0.0,18900.0,3000.9478215000004
60,0.01134441,0.0,0.0,0.0,0.0,0.0,2999.9889959223,0.0,18900.0,3000.0003403323003
61,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,18900.0,3000.0
62,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,18900.0,3000.0
63,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,18900.0,3000.0
64,652.4892,0.0,0.0,0.0,0.0,0.0,2367.085476,0.0,18900.0,3019.574676
65,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,18900.0,3000.0
66,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,18900.0,3000.0
67,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,18900.0,3000.0
68,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,18900.0,3000.0
69,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,18900.0,3000.0
70,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,18900.0,3000.0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18900.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18900.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18900.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18900.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18900.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18900.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,18900.0,750.0
78,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,18900.0,3000.0
79,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,18900.0,3000.0
80,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,18900.0,3000.0
81,735.2478,0.0,0.0,0.0,0.0,0.0,2286.809634,0.0,18900.0,3022.0574340000003
82,2099.466,0.0,0.0,0.0,0.0,0.0,963.51798,0.0,18900.0,3062.98398
83,1350.828,0.0,0.0,0.0,0.0,0.0,1689.69684,0.0,18900.0,3040.52484
84,508.1544,0.0,0.0,0.0,0.0,0.0,2507.090232,0.0,18900.0,3015.244632
