Hour,P_PV_to_Load,P_PV_to_BESS,P_PV_curtailment,P_PV_to_Grid,P_BESS_to_Load,P_BESS_to_Grid,P_Grid_to_Load,P_Grid_to_BESS,SoC,sum_power_flows
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3787.0818430465,8100.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8100.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,8100.0,750.0
6,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
7,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
8,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
9,201.984,0.0,0.0,0.0,0.0,0.0,2804.07552,0.0,8100.0,3006.05952
10,1020.444,0.0,0.0,0.0,0.0,0.0,2010.16932,0.0,8100.0,3030.61332
11,366.4236,0.0,0.0,0.0,0.0,0.0,2644.569108,0.0,8100.0,3010.992708
12,381.438,0.0,0.0,0.0,0.0,0.0,2630.00514,0.0,8100.0,3011.4431400000003
13,469.7754,0.0,0.0,0.0,0.0,0.0,2544.317862,0.0,8100.0,3014.093262
14,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
15,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
16,459.8892,0.0,0.0,0.0,2742.59823453608,0.0,0.0,0.0,5154.76993713909,3202.48743453608
17,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,1695.09480340188,3221.64948453608
18,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1695.09480340188,3000.0
19,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1695.09480340188,3000.0
20,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1695.09480340188,3000.0
21,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1695.09480340188,3000.0
22,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1695.09480340188,3000.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695.09480340188,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695.09480340188,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695.09480340188,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695.09480340188,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6737.75004901969,8100.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8100.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,8100.0,750.0
30,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
31,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
32,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
33,346.6218,0.0,0.0,0.0,0.0,0.0,2663.776854,0.0,8100.0,3010.398654
34,408.7704,0.0,0.0,0.0,0.0,0.0,2603.492712,0.0,8100.0,3012.263112
35,874.524,0.0,0.0,0.0,0.0,0.0,2151.71172,0.0,8100.0,3026.2357199999997
36,176.0868,0.0,0.0,0.0,0.0,0.0,2829.195804,0.0,8100.0,3005.282604
37,391.857,0.0,0.0,0.0,0.0,0.0,2619.89871,0.0,8100.0,3011.75571
38,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
39,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
40,459.8874,0.0,0.0,0.0,261.341030927834,0.0,2310.548454,0.0,7819.3502674744,3031.7768849278345
41,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,4359.6751337372,3221.64948453608
42,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,900.0,3221.64948453608
43,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,900.0,3000.0
44,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,900.0,3000.0
45,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,900.0,3000.0
46,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,900.0,3000.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7574.16368609299,8100.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,8100.0,750.0
54,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
55,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
56,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
57,0.05916738,0.0,0.0,0.0,0.0,0.0,2999.9426076414,0.0,8100.0,3000.0017750214
58,0.1448328,0.0,0.0,0.0,0.0,0.0,2999.859512184,0.0,8100.0,3000.004344984
59,21.0627,0.0,0.0,0.0,0.0,0.0,2979.569181,0.0,8100.0,3000.631881
60,0.00756294,0.0,0.0,0.0,0.0,0.0,2999.9926639482,0.0,8100.0,3000.0002268882
61,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
62,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
63,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
64,434.9928,0.0,0.0,0.0,0.0,0.0,2578.056984,0.0,8100.0,3013.049784
65,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
66,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
67,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
68,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
69,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
70,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8100.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8100.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8100.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8100.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8100.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8100.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,8100.0,750.0
78,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
79,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
80,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
81,490.1652,0.0,0.0,0.0,0.0,0.0,2524.539756,0.0,8100.0,3014.704956
82,1399.644,0.0,0.0,0.0,0.0,0.0,1642.34532,0.0,8100.0,3041.9893199999997
83,900.552,0.0,0.0,0.0,0.0,0.0,2126.46456,0.0,8100.0,3027.01656
84,338.7696,0.0,0.0,0.0,0.0,0.0,2671.393488,0.0,8100.0,3010.1630880000002
85,679.212,0.0,0.0,0.0,0.0,0.0,2341.16436,0.0,8100.0,3020.37636
86,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
87,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
88,412.0332,0.0,0.0,0.0,2792.44823453608,0.0,0.0,0.0,5101.23686153771,3204.4814345360796
89,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,1641.56172780051,3221.64948453608
90,0.0,0.0,0.0,0.0,690.542280927833,0.0,2356.967028,0.0,900.0,3047.509308927833
91,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,900.0,3000.0
92,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,900.0,3000.0
93,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,900.0,3000.0
94,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,900.0,3000.0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7574.16368609299,8100.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8100.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8100.0,0.0
101,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,8100.0,750.0
102,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
103,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
104,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
105,740.85,0.0,0.0,0.0,0.0,0.0,2281.3755,0.0,8100.0,3022.2255
106,301.4268,0.0,0.0,0.0,0.0,0.0,2707.616004,0.0,8100.0,3009.042804
107,546.7308,0.0,0.0,0.0,0.0,0.0,2469.671124,0.0,8100.0,3016.401924
108,325.0092,0.0,0.0,0.0,0.0,0.0,2684.741076,0.0,8100.0,3009.7502759999998
109,216.3246,0.0,0.0,0.0,0.0,0.0,2790.165138,0.0,8100.0,3006.4897379999998
110,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
111,0.0,0.0,0.0,0.0,261.341030927834,0.0,2756.639232,0.0,7819.3502674744,3017.980262927834
112,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,4359.6751337372,3221.64948453608
113,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,900.0,3221.64948453608
114,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,900.0,3000.0
115,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,900.0,3000.0
116,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,900.0,3000.0
117,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,900.0,3000.0
118,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,900.0,3000.0
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0
121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0
