Hour,P_PV_to_Load,P_PV_to_BESS,P_PV_curtailment,P_PV_to_Grid,P_BESS_to_Load,P_BESS_to_Grid,P_Grid_to_Load,P_Grid_to_BESS,SoC,sum_power_flows
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3308.31134820114,7644.8807676,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7644.8807676,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,7644.8807676,750.0
6,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,7644.8807676,3000.0
7,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,7644.8807676,3000.0
8,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,7644.8807676,3000.0
9,706.944,0.0,0.0,0.0,0.0,0.0,2314.26432,0.0,7644.8807676,3021.20832
10,3092.78350515464,478.770494845361,0.0,0.0,0.0,0.0,0.0,0.0,8100.0,3092.78350515464
11,1282.4826,0.0,0.0,0.0,0.0,0.0,1755.991878,0.0,8100.0,3038.474478
12,1335.033,0.0,0.0,0.0,0.0,0.0,1705.01799,0.0,8100.0,3040.0509899999997
13,1644.2139,0.0,0.0,0.0,0.0,0.0,1405.112517,0.0,8100.0,3049.326417
14,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
15,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
16,1609.6122,0.0,0.0,0.0,1544.97010953608,0.0,0.0,0.0,6440.88261432981,3154.58230953608
17,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,2981.2074805926,3221.64948453608
18,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,2981.2074805926,3000.0
19,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,2981.2074805926,3000.0
20,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,2981.2074805926,3000.0
21,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,2981.2074805926,3000.0
22,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,2981.2074805926,3000.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2981.2074805926,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2981.2074805926,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2981.2074805926,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2981.2074805926,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5384.80172460277,8100.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8100.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,8100.0,750.0
30,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
31,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
32,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
33,1213.1763,0.0,0.0,0.0,0.0,0.0,1823.218989,0.0,8100.0,3036.395289
34,1430.6964,0.0,0.0,0.0,0.0,0.0,1612.224492,0.0,8100.0,3042.920892
35,3060.834,0.0,0.0,0.0,0.0,0.0,30.9910200000004,0.0,8100.0,3091.82502
36,616.3038,0.0,0.0,0.0,0.0,0.0,2402.185314,0.0,8100.0,3018.489114
37,1371.4995,0.0,0.0,0.0,0.0,0.0,1669.645485,0.0,8100.0,3041.144985
38,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
39,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
40,1609.6059,0.0,0.0,0.0,261.341030927834,0.0,1195.321509,0.0,7819.3502674744,3066.268439927834
41,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,4359.6751337372,3221.64948453608
42,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,900.0,3221.64948453608
43,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,900.0,3000.0
44,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,900.0,3000.0
45,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,900.0,3000.0
46,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,900.0,3000.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7574.16368609299,8100.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,8100.0,750.0
54,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
55,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
56,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
57,0.20708583,0.0,0.0,0.0,0.0,0.0,2999.7991267449,0.0,8100.0,3000.0062125749
58,0.5069148,0.0,0.0,0.0,0.0,0.0,2999.508292644,0.0,8100.0,3000.0152074439998
59,73.71945,0.0,0.0,0.0,0.0,0.0,2928.4921335,0.0,8100.0,3002.2115835
60,0.02647029,0.0,0.0,0.0,0.0,0.0,2999.9743238187,0.0,8100.0,3000.0007941087
61,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
62,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
63,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
64,1522.4748,0.0,0.0,0.0,0.0,0.0,1523.199444,0.0,8100.0,3045.674244
65,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
66,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
67,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
68,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
69,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
70,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8100.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8100.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8100.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8100.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8100.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8100.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,8100.0,750.0
78,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
79,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
80,0.0,0.0,0.0,0.0,216.412082785837,0.0,2798.47706850983,0.0,7867.59870834854,3014.889151295667
81,1715.5782,0.0,0.0,0.0,1434.58885953608,0.0,0.0,0.0,6327.0178884,3150.16705953608
82,3092.78350515464,1805.97049484536,0.0,0.0,0.0,0.0,0.0,0.0,8043.7734408,3092.78350515464
83,3092.78350515464,59.1484948453608,0.0,0.0,0.0,0.0,0.0,0.0,8100.0,3092.78350515464
84,1185.6936,0.0,0.0,0.0,0.0,0.0,1849.877208,0.0,8100.0,3035.5708080000004
85,2377.242,0.0,0.0,0.0,0.0,0.0,694.07526,0.0,8100.0,3071.3172600000003
86,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
87,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
88,1442.1162,0.0,0.0,0.0,1719.44510953608,0.0,0.0,0.0,6253.516849725,3161.56130953608
89,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,2793.84171598779,3221.64948453608
90,0.0,0.0,0.0,0.0,1763.54540592783,0.0,1357.786518,0.0,900.0,3121.33192392783
91,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,900.0,3000.0
92,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,900.0,3000.0
93,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,900.0,3000.0
94,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,900.0,3000.0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7574.16368609299,8100.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8100.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8100.0,0.0
101,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,8100.0,750.0
102,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
103,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
104,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
105,2592.975,0.0,0.0,0.0,0.0,0.0,484.81425,0.0,8100.0,3077.78925
106,1054.9938,0.0,0.0,0.0,0.0,0.0,1976.656014,0.0,8100.0,3031.649814
107,1913.5578,0.0,0.0,0.0,0.0,0.0,1143.848934,0.0,8100.0,3057.406734
108,1137.5322,0.0,0.0,0.0,0.0,0.0,1896.593766,0.0,8100.0,3034.125966
109,757.1361,0.0,0.0,0.0,0.0,0.0,2265.577983,0.0,8100.0,3022.7140830000003
110,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,8100.0,3000.0
111,0.0,0.0,0.0,0.0,261.341030927834,0.0,2756.639232,0.0,7819.3502674744,3017.980262927834
112,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,4359.6751337372,3221.64948453608
113,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,900.0,3221.64948453608
114,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,900.0,3000.0
115,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,900.0,3000.0
116,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,900.0,3000.0
117,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,900.0,3000.0
118,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,900.0,3000.0
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0
